#     xgna        ygn         ygn
#
0 4.43974e-14 4.43974e-14
0.5 2.60837e-09 2.60837e-09
1 1.58508e-06 1.58508e-06
1.5 0.00010396 0.00010396
2 0.00195158 0.00195158
2.5 0.0169158 0.0169158
3 0.0879787 0.0879787
3.5 0.320786 0.320786
4 0.904612 0.904612
4.5 2.10559 2.10559
5 4.23068 4.23068
5.5 7.57543 7.57543
6 12.373 12.373
6.5 18.7575 18.7575
7 26.7466 26.7466
7.5 36.2434 36.2434
8 47.0519 47.0519
8.5 58.9017 58.9017
9 71.475 71.475
9.5 84.4331 84.4331
10 97.4397 97.4397
10.5 110.179 110.179
11 122.369 122.369
11.5 133.769 133.769
12 144.186 144.186
12.5 153.474 153.474
13 161.531 161.531
13.5 168.297 168.297
14 173.75 173.75
14.5 177.901 177.901
15 180.785 180.785
15.5 182.46 182.46
16 183 183
