#      xgu         yg          yg
#
16 183 183
18 178.193 178.193
20 169.456 169.456
22 159.826 159.826
24 150.169 150.169
26 140.801 140.801
28 131.852 131.852
30 123.369 123.369
32 115.368 115.368
34 107.841 107.841
36 100.776 100.776
38 94.1516 94.1516
40 87.9472 87.9472
42 82.1399 82.1399
44 76.7074 76.7074
46 71.6274 71.6274
48 66.8787 66.8787
50 62.4407 62.4407
52 58.294 58.294
54 54.4201 54.4201
56 50.8016 50.8016
58 47.422 47.422
60 44.2659 44.2659
62 41.3187 41.3187
64 38.5668 38.5668
66 35.9975 35.9975
68 33.5986 33.5986
70 31.3591 31.3591
72 29.2685 29.2685
74 27.3168 27.3168
76 25.495 25.495
78 23.7944 23.7944
80 22.207 22.207
82 20.7253 20.7253
84 19.3423 19.3423
86 18.0515 18.0515
88 16.8466 16.8466
90 15.7221 15.7221
92 14.6726 14.6726
94 13.693 13.693
96 12.7788 12.7788
98 11.9256 11.9256
100 11.1292 11.1292
102 10.386 10.386
104 9.69243 9.69243
106 9.04511 9.04511
108 8.44099 8.44099
110 7.8772 7.8772
112 7.35104 7.35104
114 6.86 6.86
116 6.40175 6.40175
118 5.9741 5.9741
120 5.575 5.575
122 5.20254 5.20254
124 4.85497 4.85497
126 4.5306 4.5306
128 4.2279 4.2279
130 3.94541 3.94541
132 3.68179 3.68179
134 3.43578 3.43578
136 3.2062 3.2062
138 2.99196 2.99196
140 2.79203 2.79203
142 2.60546 2.60546
144 2.43135 2.43135
146 2.26887 2.26887
148 2.11725 2.11725
150 1.97576 1.97576
152 1.84372 1.84372
154 1.7205 1.7205
156 1.60552 1.60552
158 1.49822 1.49822
160 1.39809 1.39809
162 1.30465 1.30465
164 1.21745 1.21745
166 1.13609 1.13609
168 1.06015 1.06015
170 0.989297 0.989297
172 0.923175 0.923175
174 0.861471 0.861471
176 0.803892 0.803892
178 0.75016 0.75016
180 0.70002 0.70002
182 0.65323 0.65323
184 0.609567 0.609567
186 0.568823 0.568823
188 0.530802 0.530802
190 0.495322 0.495322
192 0.462213 0.462213
194 0.431317 0.431317
196 0.402486 0.402486
198 0.375582 0.375582
200 0.350476 0.350476
202 0.327049 0.327049
204 0.305187 0.305187
206 0.284786 0.284786
208 0.265749 0.265749
210 0.247985 0.247985
212 0.231408 0.231408
214 0.215939 0.215939
216 0.201504 0.201504
218 0.188034 0.188034
220 0.175464 0.175464
222 0.163735 0.163735
224 0.152789 0.152789
226 0.142575 0.142575
228 0.133044 0.133044
230 0.12415 0.12415
232 0.115851 0.115851
234 0.108106 0.108106
236 0.100879 0.100879
238 0.0941353 0.0941353
240 0.0878423 0.0878423
242 0.08197 0.08197
244 0.0764901 0.0764901
246 0.0713767 0.0713767
248 0.066605 0.066605
250 0.0621523 0.0621523
252 0.0579973 0.0579973
254 0.0541201 0.0541201
256 0.050502 0.050502
258 0.0471258 0.0471258
260 0.0439753 0.0439753
262 0.0410354 0.0410354
264 0.038292 0.038292
266 0.0357321 0.0357321
268 0.0333433 0.0333433
270 0.0311142 0.0311142
272 0.0290341 0.0290341
274 0.027093 0.027093
276 0.0252817 0.0252817
278 0.0235915 0.0235915
280 0.0220143 0.0220143
282 0.0205426 0.0205426
284 0.0191692 0.0191692
286 0.0178877 0.0178877
288 0.0166918 0.0166918
290 0.0155758 0.0155758
292 0.0145345 0.0145345
294 0.0135628 0.0135628
296 0.0126561 0.0126561
298 0.0118099 0.0118099
300 0.0110204 0.0110204
302 0.0102836 0.0102836
304 0.00959607 0.00959607
306 0.00895452 0.00895452
308 0.00835585 0.00835585
310 0.00779721 0.00779721
312 0.00727591 0.00727591
314 0.00678947 0.00678947
316 0.00633556 0.00633556
318 0.00591197 0.00591197
320 0.00551672 0.00551672
322 0.00514789 0.00514789
324 0.00480372 0.00480372
326 0.00448256 0.00448256
328 0.00418286 0.00418286
330 0.00390321 0.00390321
332 0.00364225 0.00364225
334 0.00339874 0.00339874
336 0.00317151 0.00317151
338 0.00295947 0.00295947
340 0.00276161 0.00276161
342 0.00257697 0.00257697
344 0.00240468 0.00240468
346 0.00224391 0.00224391
348 0.00209389 0.00209389
350 0.00195389 0.00195389
352 0.00182326 0.00182326
354 0.00170136 0.00170136
356 0.00158761 0.00158761
358 0.00148147 0.00148147
360 0.00138242 0.00138242
362 0.00128999 0.00128999
364 0.00120375 0.00120375
366 0.00112326 0.00112326
368 0.00104816 0.00104816
370 0.000978085 0.000978085
372 0.000912691 0.000912691
374 0.000851671 0.000851671
376 0.000794729 0.000794729
378 0.000741594 0.000741594
380 0.000692012 0.000692012
382 0.000645744 0.000645744
384 0.000602571 0.000602571
386 0.000562284 0.000562284
388 0.00052469 0.00052469
390 0.000489609 0.000489609
392 0.000456874 0.000456874
394 0.000426328 0.000426328
396 0.000397824 0.000397824
398 0.000371226 0.000371226
400 0.000346406 0.000346406
402 0.000323245 0.000323245
404 0.000301634 0.000301634
406 0.000281466 0.000281466
408 0.000262648 0.000262648
410 0.000245087 0.000245087
412 0.0002287 0.0002287
414 0.00021341 0.00021341
416 0.000199141 0.000199141
